date,portfolio_value
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,100000.0
2023-01-06,100000.0
2023-01-09,100000.0
2023-01-10,100000.0
2023-01-11,100000.0
2023-01-12,100000.0
2023-01-13,100000.0
2023-01-17,100000.0
2023-01-18,100000.0
2023-01-19,100000.0
2023-01-20,100000.0
2023-01-23,100000.0
2023-01-24,100000.0
2023-01-25,100000.0
2023-01-26,100000.0
2023-01-27,100000.0
2023-01-30,100000.0
2023-01-31,100000.0
2023-02-01,102285.37160658387
2023-02-02,106101.21241163758
2023-02-03,103364.08939528016
2023-02-06,103892.22945570498
2023-02-07,104263.29013990908
2023-02-08,104460.13010572939
2023-02-09,105035.07113050966
2023-02-10,102829.65049147158
2023-02-13,103019.1105897382
2023-02-14,105875.74942945987
2023-02-15,107303.9526460126
2023-02-16,103992.3296143964
2023-02-17,104890.26896070987
2023-02-21,101946.1500642255
2023-02-22,103005.8508241132
2023-02-23,103247.83172010927
2023-02-24,101504.31134962587
2023-02-27,103652.03203749208
2023-02-28,103434.73278212099
2023-03-01,102206.93064283876
2023-03-02,98882.40267931885
2023-03-03,98882.40267931885
2023-03-06,98882.40267931885
2023-03-07,98882.40267931885
2023-03-08,98882.40267931885
2023-03-09,98882.40267931885
2023-03-10,98882.40267931885
2023-03-13,98882.40267931885
2023-03-14,98882.40267931885
2023-03-15,98882.40267931885
2023-03-16,98882.40267931885
2023-03-17,98882.40267931885
2023-03-20,98882.40267931885
2023-03-21,98882.40267931885
2023-03-22,98882.40267931885
2023-03-23,98882.40267931885
2023-03-24,98882.40267931885
2023-03-27,98882.40267931885
2023-03-28,98882.40267931885
2023-03-29,98882.40267931885
2023-03-30,99062.33975728515
2023-03-31,98468.51069386963
2023-04-03,99496.52740987304
2023-04-04,100291.04973348144
2023-04-05,99853.32014211181
2023-04-06,100774.29385884765
2023-04-10,100715.62544759277
2023-04-11,99178.30855306152
2023-04-12,99175.70873006347
2023-04-13,100675.04754384521
2023-04-14,100547.87070973877
2023-04-17,100594.24746449951
2023-04-18,100710.96785481933
2023-04-19,101851.38924153807
2023-04-20,103477.51596578123
2023-04-21,104348.98943837645
2023-04-24,104074.67138417723
2023-04-25,102519.44315846922
2023-04-26,105601.82063039305
2023-04-27,107301.93961843017
2023-04-28,105221.02426261094
2023-05-01,104308.57672232774
2023-05-02,104704.97388571886
2023-05-03,104697.7694637218
2023-05-04,104538.39178580431
2023-05-05,104027.679063026
2023-05-08,104263.53318900257
2023-05-09,104856.2244045177
2023-05-10,107091.63916129262
2023-05-11,108238.6876003185
2023-05-12,108395.38550681264
2023-05-15,108751.87060660514
2023-05-16,110146.48398703728
2023-05-17,110090.3899394909
2023-05-18,110990.27178305779
2023-05-19,109806.72300833855
2023-05-22,108663.32689780388
2023-05-23,108561.05808371697
2023-05-24,109233.28700369988
2023-05-25,108979.438904945
2023-05-26,109521.12390097212
2023-05-30,110827.99204977584
2023-05-31,111439.16073568891
2023-06-01,111515.02901419233
2023-06-02,111979.50114401411
2023-06-05,112291.92481955122
2023-06-06,112966.3637386186
2023-06-07,114327.66692312786
2023-06-08,115605.5971065385
2023-06-09,116337.7869792802
2023-06-12,116577.89607962199
2023-06-13,117258.35040243693
2023-06-14,116689.00791891642
2023-06-15,115332.25450094767
2023-06-16,116455.07228811808
2023-06-20,118476.89509543008
2023-06-21,117523.2308650834
2023-06-22,117756.74511679239
2023-06-23,117411.583831392
2023-06-26,116624.12391623086
2023-06-27,116708.1176184732
2023-06-28,116778.27232733551
2023-06-29,116769.18130865875
2023-06-30,116181.69346991363
2023-07-03,117659.86447516267
2023-07-05,117970.71149054352
2023-07-06,117093.61416998687
2023-07-07,117608.29178229156
2023-07-10,117824.38049689117
2023-07-11,118006.0049017984
2023-07-12,117685.01723089996
2023-07-13,117782.84694281404
2023-07-14,117778.80034247224
2023-07-17,117715.56854620759
2023-07-18,116657.82617560212
